2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.501809 Table user Column id db default is nextval('user_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.569352 Table team Column id db default is nextval('team_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.571189 Table org_user Column id db default is nextval('org_user_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.572870 Table team_user Column id db default is nextval('team_user_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.574404 Table team_repo Column id db default is nextval('team_repo_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.575914 Table notice Column id db default is nextval('notice_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.577404 Table email_address Column id db default is nextval('email_address_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.176397 Table user Column id db default is nextval('user_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.177532 Table user Column max_repo_creation db default is '-1'::integer, struct default is -1
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.187384 Table public_key Column id db default is nextval('public_key_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.197585 Table two_factor Column id db default is nextval('two_factor_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.208403 Table two_factor_recovery_code Column id db default is nextval('two_factor_recovery_code_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.222434 Table repository Column id db default is nextval('repository_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.234506 Table deploy_key Column id db default is nextval('deploy_key_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.238542 Table collaboration Column id db default is nextval('collaboration_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.241610 Table upload Column id db default is nextval('upload_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.244610 Table watch Column id db default is nextval('watch_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.247671 Table star Column id db default is nextval('star_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.251539 Table follow Column id db default is nextval('follow_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.256200 Table action Column id db default is nextval('action_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.260484 Table issue Column id db default is nextval('issue_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.264266 Table pull_request Column id db default is nextval('pull_request_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.267934 Table comment Column id db default is nextval('comment_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.272011 Table attachment Column id db default is nextval('attachment_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.276545 Table issue_user Column id db default is nextval('issue_user_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.280917 Table label Column id db default is nextval('label_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.284630 Table issue_label Column id db default is nextval('issue_label_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.289898 Table milestone Column id db default is nextval('milestone_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.293704 Table mirror Column id db default is nextval('mirror_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.296770 Table release Column id db default is nextval('release_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.301171 Table webhook Column id db default is nextval('webhook_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.305847 Table hook_task Column id db default is nextval('hook_task_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.309418 Table protect_branch Column id db default is nextval('protect_branch_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.312923 Table protect_branch_whitelist Column id db default is nextval('protect_branch_whitelist_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.316222 Table team Column id db default is nextval('team_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.320478 Table org_user Column id db default is nextval('org_user_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.326225 Table team_user Column id db default is nextval('team_user_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.330184 Table team_repo Column id db default is nextval('team_repo_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.334422 Table notice Column id db default is nextval('notice_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.338260 Table email_address Column id db default is nextval('email_address_id_seq'::regclass), struct default is 
2021/08/06 17:17:48 [xorm] [warn]  2021/08/06 17:17:48.939572 Table user Column id db default is nextval('user_id_seq'::regclass), struct default is 
2021/08/06 17:17:48 [xorm] [warn]  2021/08/06 17:17:48.940345 Table user Column max_repo_creation db default is '-1'::integer, struct default is -1
2021/08/06 17:17:48 [xorm] [warn]  2021/08/06 17:17:48.947265 Table public_key Column id db default is nextval('public_key_id_seq'::regclass), struct default is 
2021/08/06 17:17:48 [xorm] [warn]  2021/08/06 17:17:48.962918 Table two_factor Column id db default is nextval('two_factor_id_seq'::regclass), struct default is 
2021/08/06 17:17:48 [xorm] [warn]  2021/08/06 17:17:48.977874 Table two_factor_recovery_code Column id db default is nextval('two_factor_recovery_code_id_seq'::regclass), struct default is 
2021/08/06 17:17:48 [xorm] [warn]  2021/08/06 17:17:48.989021 Table repository Column id db default is nextval('repository_id_seq'::regclass), struct default is 
2021/08/06 17:17:48 [xorm] [warn]  2021/08/06 17:17:48.997020 Table deploy_key Column id db default is nextval('deploy_key_id_seq'::regclass), struct default is 
2021/08/06 17:17:48 [xorm] [warn]  2021/08/06 17:17:48.999600 Table collaboration Column id db default is nextval('collaboration_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.002234 Table upload Column id db default is nextval('upload_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.004599 Table watch Column id db default is nextval('watch_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.007906 Table star Column id db default is nextval('star_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.011951 Table follow Column id db default is nextval('follow_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.016988 Table action Column id db default is nextval('action_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.022308 Table issue Column id db default is nextval('issue_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.027473 Table pull_request Column id db default is nextval('pull_request_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.032499 Table comment Column id db default is nextval('comment_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.036316 Table attachment Column id db default is nextval('attachment_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.040936 Table issue_user Column id db default is nextval('issue_user_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.044563 Table label Column id db default is nextval('label_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.048900 Table issue_label Column id db default is nextval('issue_label_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.053413 Table milestone Column id db default is nextval('milestone_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.057356 Table mirror Column id db default is nextval('mirror_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.061720 Table release Column id db default is nextval('release_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.065068 Table webhook Column id db default is nextval('webhook_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.069846 Table hook_task Column id db default is nextval('hook_task_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.074595 Table protect_branch Column id db default is nextval('protect_branch_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.078350 Table protect_branch_whitelist Column id db default is nextval('protect_branch_whitelist_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.083541 Table team Column id db default is nextval('team_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.087344 Table org_user Column id db default is nextval('org_user_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.091426 Table team_user Column id db default is nextval('team_user_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.096382 Table team_repo Column id db default is nextval('team_repo_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.101134 Table notice Column id db default is nextval('notice_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.105773 Table email_address Column id db default is nextval('email_address_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.217537 Table user Column id db default is nextval('user_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.218705 Table user Column max_repo_creation db default is '-1'::integer, struct default is -1
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.233291 Table public_key Column id db default is nextval('public_key_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.247492 Table two_factor Column id db default is nextval('two_factor_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.255908 Table two_factor_recovery_code Column id db default is nextval('two_factor_recovery_code_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.265768 Table repository Column id db default is nextval('repository_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.276536 Table deploy_key Column id db default is nextval('deploy_key_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.280096 Table collaboration Column id db default is nextval('collaboration_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.283150 Table upload Column id db default is nextval('upload_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.285969 Table watch Column id db default is nextval('watch_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.289109 Table star Column id db default is nextval('star_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.292488 Table follow Column id db default is nextval('follow_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.296617 Table action Column id db default is nextval('action_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.300908 Table issue Column id db default is nextval('issue_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.305593 Table pull_request Column id db default is nextval('pull_request_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.309438 Table comment Column id db default is nextval('comment_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.312699 Table attachment Column id db default is nextval('attachment_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.316971 Table issue_user Column id db default is nextval('issue_user_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.320180 Table label Column id db default is nextval('label_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.323166 Table issue_label Column id db default is nextval('issue_label_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.326846 Table milestone Column id db default is nextval('milestone_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.329937 Table mirror Column id db default is nextval('mirror_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.334404 Table release Column id db default is nextval('release_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.338184 Table webhook Column id db default is nextval('webhook_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.342150 Table hook_task Column id db default is nextval('hook_task_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.345733 Table protect_branch Column id db default is nextval('protect_branch_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.348381 Table protect_branch_whitelist Column id db default is nextval('protect_branch_whitelist_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.351060 Table team Column id db default is nextval('team_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.354255 Table org_user Column id db default is nextval('org_user_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.357436 Table team_user Column id db default is nextval('team_user_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.360504 Table team_repo Column id db default is nextval('team_repo_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.363745 Table notice Column id db default is nextval('notice_id_seq'::regclass), struct default is 
2021/08/06 17:25:20 [xorm] [warn]  2021/08/06 17:25:20.366933 Table email_address Column id db default is nextval('email_address_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.595430 Table user Column id db default is nextval('user_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.596047 Table user Column max_repo_creation db default is '-1'::integer, struct default is -1
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.602038 Table public_key Column id db default is nextval('public_key_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.609156 Table two_factor Column id db default is nextval('two_factor_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.615351 Table two_factor_recovery_code Column id db default is nextval('two_factor_recovery_code_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.623395 Table repository Column id db default is nextval('repository_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.629635 Table deploy_key Column id db default is nextval('deploy_key_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.632169 Table collaboration Column id db default is nextval('collaboration_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.634987 Table upload Column id db default is nextval('upload_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.637431 Table watch Column id db default is nextval('watch_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.639779 Table star Column id db default is nextval('star_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.641993 Table follow Column id db default is nextval('follow_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.644330 Table action Column id db default is nextval('action_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.646913 Table issue Column id db default is nextval('issue_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.649115 Table pull_request Column id db default is nextval('pull_request_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.651231 Table comment Column id db default is nextval('comment_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.653442 Table attachment Column id db default is nextval('attachment_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.655478 Table issue_user Column id db default is nextval('issue_user_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.658126 Table label Column id db default is nextval('label_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.660658 Table issue_label Column id db default is nextval('issue_label_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.663455 Table milestone Column id db default is nextval('milestone_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.666123 Table mirror Column id db default is nextval('mirror_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.668852 Table release Column id db default is nextval('release_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.671413 Table webhook Column id db default is nextval('webhook_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.673978 Table hook_task Column id db default is nextval('hook_task_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.676359 Table protect_branch Column id db default is nextval('protect_branch_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.678840 Table protect_branch_whitelist Column id db default is nextval('protect_branch_whitelist_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.680905 Table team Column id db default is nextval('team_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.683007 Table org_user Column id db default is nextval('org_user_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.684886 Table team_user Column id db default is nextval('team_user_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.686774 Table team_repo Column id db default is nextval('team_repo_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.688745 Table notice Column id db default is nextval('notice_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.690848 Table email_address Column id db default is nextval('email_address_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.792955 Table user Column id db default is nextval('user_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.793647 Table user Column max_repo_creation db default is '-1'::integer, struct default is -1
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.799945 Table public_key Column id db default is nextval('public_key_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.807710 Table two_factor Column id db default is nextval('two_factor_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.814325 Table two_factor_recovery_code Column id db default is nextval('two_factor_recovery_code_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.823337 Table repository Column id db default is nextval('repository_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.833271 Table deploy_key Column id db default is nextval('deploy_key_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.835858 Table collaboration Column id db default is nextval('collaboration_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.838549 Table upload Column id db default is nextval('upload_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.841037 Table watch Column id db default is nextval('watch_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.843614 Table star Column id db default is nextval('star_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.848325 Table follow Column id db default is nextval('follow_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.851501 Table action Column id db default is nextval('action_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.858598 Table issue Column id db default is nextval('issue_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.862692 Table pull_request Column id db default is nextval('pull_request_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.865544 Table comment Column id db default is nextval('comment_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.868194 Table attachment Column id db default is nextval('attachment_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.870987 Table issue_user Column id db default is nextval('issue_user_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.873456 Table label Column id db default is nextval('label_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.875676 Table issue_label Column id db default is nextval('issue_label_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.879111 Table milestone Column id db default is nextval('milestone_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.882240 Table mirror Column id db default is nextval('mirror_id_seq'::regclass), struct default is 
